id,text,example_type,auto_label_sleep_disturbance,auto_label_hypervigilance,auto_label_avoidance,auto_label_intrusive_memories,auto_label_anger_irritability,auto_label_emotional_numbing,auto_label_guilt_shame,auto_label_functional_impairment,annotation_sleep_disturbance,annotation_hypervigilance,annotation_avoidance,annotation_intrusive_memories,annotation_anger_irritability,annotation_emotional_numbing,annotation_guilt_shame,annotation_functional_impairment
syn_1311,"נמאס לי לישון בשקי שינה. היה קו קשה, אבל לפחות נגמר. אי אפשר ככה. המפקד לא מבין שזה החיים.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0228,"מאז שנגמר הסבב, הלילות שלי הפכו לסיוט. פשוט לא מצליח לישון כמו שצריך.",positive_clear,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
syn_0051,"מאז שחזרתי מהסבב האחרון, עשיתי עיקוף שלם כדי לא לעבור ליד הבסיס. אותו סיפור.",positive_clear,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
syn_1520,הקיץ נשרף לי על המילואים האלה. המדים שלי מלאים בחול שוב. הבוס שלי עושה לי פרצופים על זה. אי אפשר ככה.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0564,"מאז שחזרתי מהמילואים, אני לא פותח חדשות יותר. פשוט אותו סיפור, ככה זה.",positive_clear,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
syn_0502,מאז שהיינו שם אני מרגיש שאני דרוך כל הזמן. פתאום רעש וכבר קפצתי. מה חדש אצלך?,positive_clear,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_0458,"כל פעם שאני נזכר במילואים, פתאום חוזרים לי קטעים לראש על מה שהיה שם. זה פשוט לא עוזב אותי. כבר נמאס לי.",positive_clear,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
syn_0285,"מאז שחזרתי לעבודה, אני חולם חלומות מוזרים וזה מפריע לי לישון. הלילה שוב לא ישנתי טוב. המוח שלי לא נכבה ואני מרגיש כמו זומבי בבוקר.",positive_clear,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
syn_1510,הבוס שלי עושה לי פרצופים על המילואים. תמיד המילואימניקים מקבלים את הציוד הישן. מה חדש בזה?,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0209,מאז שחזרתי מהסבב האחרון אני לא מצליח להירדם בלי טלוויזיה דולקת. אני פשוט זומבי וללא כוח לשמוע אף אחד. זה לא יכול להימשך ככה.,positive_clear,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
syn_1387,"התבאסתי שלא הייתי ביומולדת של הבת שלי. נמאס לי לישון בשקי שינה. הפסדתי טיסה לחו""ל בגלל הצו הזה. תמיד אותו סיפור, סדיר זה החיים.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1518,נמאס לי מהפקקים בדרך לבסיס. האוכל שם תמיד נוראי. פשוט לא מתאים.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1831,"כל פעם שאני יוצא מהבית, אני מרגיש קצת שונה מאז. פתאום רעש ואני כבר קופץ, אבל זה לא נורא. יכול להיות שאני סתם דרוך, אולי בגלל שאני תמיד יושב עם הגב לקיר. לא בטוח שזה משנה יותר מדי.",ambiguous,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_1118,"מאז שחזרתי אני מתעורר בלילה עם דפיקות לב. מחפש כל פעם את היציאה, כי המוח שלי לא נכבה. שום דבר לא מתיישב לי בראש.",implicit,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
syn_0178,בשבועות האחרונים אני מתעורר כל כמה שעות לבדוק שהכל בסדר. כבר אין לי כוח לזה.,positive_clear,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
syn_1211,נמאס לי מהפקקים בדרך לבסיס. זה תמיד אותו סיפור.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0866,"פתאום קלטתי שלא בא לי לדבר על זה, ואני מנסה לא לחשוב על זה. זה ממש מעצבן אותי.",implicit,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
syn_0065,בשבועות האחרונים אני מתעצבן מכל שטות על הילדים. זה פשוט לא נגמר.,positive_clear,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
syn_0061,"מאז שחזרתי ללימודים, אני לא מצליח לעצום עיניים. המוח שלי לא נכבה והגוף שלי במתח מתמיד. זה כבר אותו סיפור, פשוט אין מנוחה.",positive_clear,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
syn_0191,מאז שחזרתי הביתה אני נרדם רק מול המחשב. אני מרגיש שאני חייב להיות מוכן לכל תרחיש. זה פשוט מעייף אותי.,positive_clear,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
syn_0448,"כל פעם שאני נזכר במילואים אני מתעורר בבהלה מכל שטות. המוח שלי לא נכבה, ואני מרגיש שאני חייב להיות מוכן להכל. אי אפשר ככה.",positive_clear,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
syn_0477,"בחודשים האחרונים אני מתעצבן מכל שטות. כל דבר קטן שמישהו אומר פשוט מוציא לי את הסעיף, ואני לא מצליח לשלוט במה שיוצא לי מהפה. לא יודע מה קורה לי.",positive_clear,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
syn_1036,"פתאום קלטתי שבימים האחרונים אני רק מצליח להירדם מול המחשב. כל טריקה של חלון נשמעת לי כמו בום. יש לי לילה לבן כל לילה, המוח שלי לא נכבה. משהו שם נשבר.",implicit,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
syn_1234,"שוב מקפיצים אותנו לאימון מיותר. הציוד שקיבלנו פח, נמאס לי מהבירוקרטיה של המערכת. באמת אין עם מי לדבר.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0054,מאז שיצאנו משם הכל מעלה לי את הסעיף. אני מתעצבן מכל שטות ולא מצליח לשלוט בעצמי. זה פשוט מתסכל.,positive_clear,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
syn_1151,בתקופה האחרונה אני מרגיש כל כך מנותק מכולם. כאילו שאני באיזה סרט אבל לא באמת בתוך הסיפור. אין לי מושג למה זה קורה.,implicit,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
syn_0408,"מאז שחזרתי לעבודה, אני לא עובר ברחוב שבו זה קרה. פשוט איבדתי את היכולת להתרגש, לא יודע איך להסביר את זה.",positive_clear,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
syn_1468,"היה חם רצח ואין מזגן באוהל, פשוט גמור פה.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1332,נשרף לי כל הקיץ על המילואים. אותו סיפור כל הזמן. משימה אחרי משימה וזה מה יש.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1438,התנאים בשטח היו זוועה. הרסר שוב דפק אותנו עם התורנויות. נמאס לי מהצעקות של המפקד. אני פשוט גמור.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0861,"מאז שחזרתי בחודשים האחרונים, אני פשוט לא יכול לראות סרטי מלחמה. כאילו משהו שם נשבר, וזה קשה לי מדי.",implicit,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
syn_0452,"כל פעם שאני יוצא מהבית, אני מתעצבן מכל שטות. זה כעס פנימי שלא משתחרר וזה ממש מעצבן.",positive_clear,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
syn_0921,"קשה לי עם זה שהאדרנלין לא יורד מאז שחזרתי למציאות. לא שמתי לב לזה עד עכשיו, אבל זה מעייף.",implicit,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_1208,למה תמיד נותנים למילואימניקים את הציוד הישן? מה חדש עם זה?,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0570,מאז התקופה בצפון אני מתהפך במיטה עד הבוקר. כל טריקה של חלון נשמעת לי כמו בום. אני מרגיש כאילו המוח שלי לא נכבה. לא מצליח לישון שקט.,positive_clear,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
syn_1659,נמאס לי מהפקקים בדרך לבסיס. שוב אין תקציב לנסיעות של המילואים. באמת ככה זה תמיד.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1784,"כל פעם שאני יוצא מהבית, אני מרגיש שמשהו בי השתנה. לא ברור מה קורה.",ambiguous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0013,אני שם לב שאני לא מצליח להירגע במקומות סגורים. אני תמיד סורק את החדר כשנכנס ומרגיש דרוך בכל רעש.,positive_clear,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_1556,"הפסדתי טיסה לחו""ל בגלל הצו המטומטם הזה. הנעליים הצבאיות הרגו לי את הרגליים. הבוס שלי עושה לי פרצופים בגלל המילואים. מה יופי.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1652,כל היום רק חיכינו לשוברים. המילואים האלה פשוט גמרו אותי מעייפות. ממש לא נעים.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0326,לאחרונה לא בא לי לדבר על המילואים. פשוט עשה לי רע.,positive_clear,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
syn_1431,כל היום רק חיכינו לשוברים. ממש מגניב.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0867,"משהו עובר עליי מאז התקופה בעזה, אני מתעצבן מכל שטות שהייתי מתעלם ממנה לפני. אני לא מצליח לנהל שיחה רגילה, זה פשוט הזוי. הכל מעלה לי את הסעיף.",implicit,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
syn_0697,"לאחרונה אני מתעצבן מכל שטות. אני פשוט לא מצליח להפסיק לחשוב מה הייתי יכול לעשות אחרת. זה בשקט, אבל תכלס, זה ממש מעצבן.",positive_clear,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
syn_0318,"מאז שחזרתי ללימודים אני שוכח דברים בסיסיים כל הזמן. אני נמצא בערפל מוחי, ולא מצליח להתרכז.",positive_clear,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
syn_0441,"מאז שחזרתי ללימודים, אני מתעצבן מכל שטות. התגובות שלי הפכו ממש קיצוניות, וזה עושה לי הרגשה רעה.",positive_clear,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
syn_1965,"מאז שחזרנו מהקו, אני מרגיש קצת מוזר. לא מגזים.",ambiguous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1565,"הנעליים הצבאיות הורגות לי את הרגליים. מה חדש, זה תמיד ככה.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0690,"קולט שאני מתעורר כל כמה שעות לבדוק שהכל בסדר. נמאס לי מזה, כאילו אני לא מצליח לישון כמו שצריך.",positive_clear,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
syn_0189,בחודשים האחרונים אני מתעורר עם דפיקות לב בלילה. כל אופנוע שעובר נשמע לי כמו התרעה. המוח שלי לא נכבה ואני פשוט לא נרדם.,positive_clear,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
syn_0780,משהו עובר עליי מאז הצו שמונה האחרון. פתאום חוזרים לי קטעים לראש בלי שליטה. כאילו משהו שם נשבר ולא מצליח להשתקם.,implicit,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
syn_0198,"כל פעם שאני נזכר במילואים, פתאום רעש וכבר קפצתי. אני גם נמנע מלפגוש חברים מהצבא, פשוט עייף מהכל.",positive_clear,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
syn_0736,"בקיצור, בתקופה האחרונה קופץ מכל טריקת דלת. לא ממש שמתי לב לזה עד עכשיו.",implicit,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_1737,"מאז התקופה בעזה, אני מרגיש שמשהו לא לגמרי בסדר. יכול להיות שאני שוכח דברים בסיסיים הרבה יותר מבעבר, אבל אני לא בטוח. זה כאילו יש לי ערפל מוחי על דברים פשוטים.",ambiguous,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
syn_0705,"משהו עובר עליי מאז שחזרתי מהסבב האחרון. פתאום חוזרים לי קטעים לראש, וזה הכי מעצבן שיש. בלאקאאוט של מחשבות, רק רוצה להתרכז.",implicit,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
syn_1238,נורא מתבאס שלא הייתי ביומולדת של הבת שלי. המענק מהמילואים עוד לא נכנס לחשבון. אין לי אנרגיות בכלל.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0542,"בזמן האחרון אני מרגיש שאני לא באמת נח, גם כשאני ישן. לא יכול לשבת במקומות הומים, זה עושה לי רע. פשוט לא יודע להסביר את זה.",positive_clear,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
syn_1654,השירותים בבסיס זה הדבר הכי מגעיל שיש. הקצינה שוב שכחה לחתום לי על הטפסים. ביזיון לגמרי.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0088,"מאז שחזרתי מהמילואים, הלילות הפכו להיות סיוט. אני מתעורר כל הזמן ובודק את הדלת עשר פעמים לפני שאני נכנס. אני פשוט גמור.",positive_clear,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
syn_1496,המילואים האלה גמרו אותי מעייפות. שוב אין תקציב לנסיעות. אני פשוט תשוש מהכל.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0942,מסתבר שלפני כמה ימים חזרתי מהמילואים ואני מתעצבן מכל שטות על הכביש. אני צועק על אנשים בלי הפסקה ומרגיש אשם שאני לא מצליח לחזור לשגרה. זה ממש מוזר לי.,implicit,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
syn_1100,האמת שכבר יותר משנה אני לא מצליח לעצום עיניים כמו שצריך. הגוף שלי במתח מתמיד וזה מתחיל להפריע לי. כמה פעמים קמתי בלילה והמוח שלי לא נכבה.,implicit,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
syn_0255,"מאז שחזרתי למציאות אני לא עובר ברחוב ההוא. אני מרגיש כאילו יש לי חומת אבן סביב הלב. זה פשוט ככה, רגיל.",positive_clear,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
syn_1997,"מאז שחזרתי לישון במיטה שלי, אני מרגיש שמשהו לא בסדר. אולי אני מפחד ללכת לישון לפעמים, לא בטוח. יש לי לילה לבן מדי פעם, והמוח שלי לא נכבה.",ambiguous,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
syn_1892,אני בתקופה קצת מוזרה מאז שזה נגמר. יש לי תחושה שמשהו לא בסדר.,ambiguous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0777,פתאום קלטתי שמאז הצו שמונה האחרון יש משהו שעדיין לא פתור בתוכי. משהו שם נשבר ואני לא מצליח להעמיד את זה מאחורי. חשבתי שאפשר להמשיך אבל זה רק מכרסם בי.,implicit,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
syn_0161,"מאז שחזרתי לעבודה אני מתעורר עם דפיקות לב בלילה. לא יכול לשבת במקומות הומים, אני פשוט כל הזמן דרוך. המוח שלי לא נכבה וזה ממש מתיש.",positive_clear,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1
syn_1132,"כל פעם שאני יוצא מהבית אני מרגיש כמו רובוט, פשוט פועל בלי קשר לכלום. זה קורה כל הזמן.",implicit,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
syn_0601,מאז שהיינו שם בפנים אני מתעצבן מכל שטות כלפי הסביבה שלי. אני אוכל את עצמי על דברים שקרו שם. פשוט גמור.,positive_clear,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
syn_1700,"לאחרונה אני מרגיש קצת שונה, לא יודע למה.",ambiguous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1289,שוב אכלנו לוף כל השבוע. מה חדש אצלך? החיים פשוטים כמו שהם.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1268,שוב מקפיצים אותנו לאימון שאין בו שום צורך. הפסדתי מלא כסף מהעסק בגלל המילואים הזאת. אין לי איך להחזיק את זה.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1817,"מאז הצו שמונה האחרון, הכל קצת כבד. מתהפך במיטה עד הבוקר, לא בטוח למה. משהו לא זורם.",ambiguous,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
syn_1768,"מאז שהכל התחיל, קשה לי להסביר מה קורה איתי. זה לא בראש שלי.",ambiguous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0741,"מסתבר שהשינה שלי נהייתה ממש גרועה מאז הצו שמונה. לילות לבנים כל הזמן, המוח שלי לא נכבה.",implicit,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
syn_1184,"הקטע הוא שמאז הצו שמונה האחרון פתאום הכל מרגיש יותר קשה. לא מצליח להתרכז, אפילו הדברים הפשוטים יושבים לי על הראש כמו ערפל מוחי. זה קצת מפחיד אותי, כי אני יודע שאני יכול לתפקד יותר טוב מזה.",implicit,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
syn_0394,"מאז שהשתחררתי מהצו, הכל מעלה לי את הסעיף. הפסקתי לתפקד כמו שצריך ואני מתעצבן מכל שטות. אני לא מצליח להתרכז על שום דבר.",positive_clear,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
syn_1444,"הבוס שלי עושה פרצופים על המילואים, וזה פשוט מעצבן. המענק עדיין לא נכנס לחשבון וזה לא הגיוני. אני רק רוצה שיסתיים כבר.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0142,"מאז שחזרתי מהסבב האחרון אני מרגיש שגם כשאני ישן אני לא באמת נח. בלילה אני מתעורר והראש שלי לא נכבה. איבדתי את הסבלנות לכל העולם, פשוט אין לי כוח.",positive_clear,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
syn_0093,"מאז שחזרתי למציאות, כל דבר קטן מזכיר לי מה שראיתי. פתאום חוזרים לי קטעים לראש וזה מעצבן ברמות. (מילואים ומשימה — בלי קשר.)",positive_clear,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
syn_1356,"התנאים בשטח פשוט זוועתיים. אין תקציב לנסיעות של המילואים שוב. החמ""ל הזה משעמם ברמות. אותו סיפור כמו תמיד.",hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0467,בשבועות האחרונים יש לי לילה לבן כמעט כל ערב. המוח שלי לא נכבה ואני מתעורר לזיכרונות שאני לא יכול לשלוט בהם. כבר נמאס לי מהמצב הזה.,positive_clear,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
syn_1585,שוב אין תקציב לנסיעות של המילואים. מוצא את עצמי מתסכל על כל הקיץ הזה שנשרף על המילואים. אני פשוט תשוש מהכל.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0593,"מאז שחזרתי לעבודה, השינה שלי ממש איומה. אני רואה את עצמי יושב עם הגב לקיר כל הזמן. זה פשוט אותו סיפור, הלילה שלי לבן והגוף שלי זומבי.",positive_clear,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
syn_0163,"מאז שחזרתי ללימודים עשיתי עיקוף שלם כדי לא לעבור ליד הבסיס. מרגיש קצת ריק בפנים, זה מעצבן ברמות.",positive_clear,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
syn_1754,"לאחרונה קשה לי להשתחרר מזה. לא יודע למה, פשוט מרגיש מוזר.",ambiguous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1778,"מאז ה-7 באוקטובר, דברים מרגישים אחרת. יכול להיות שזה כי אני לא מצליח להחזיק סדר יום נורמלי, אני לא בטוח.",ambiguous,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
syn_0206,כל פעם שאני לבד אני מרגיש מנותק מהכל. פשוט לא קרוב לאף אחד. איזה יופי.,positive_clear,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
syn_0930,"הקטע הוא ששמעתי שירים שקשורים למלחמה, וסגרתי את הרדיו. אני מנסה לא לחשוב על זה, זה פשוט מוזר לי.",implicit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
syn_1303,מתגעגע בטירוף לאוכל של הבית. זה מתסכל.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1710,"בשבועות האחרונים אני מרגיש קצת אחר. כאילו יש לי אדישות להכל, אבל אני לא בטוח למה. אני מנסה לא לחשוב על זה מדי.",ambiguous,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
syn_0748,"לא מזמן, מאז שחזרתי למשפחה, אני מתעורר באמצע הלילה ספוג בזיעה. יש לי לילה לבן כל פעם, כל רעש קטן גורם לי לקפוץ. אני סורק את כל האנשים מסביב ברחוב, כבר התרגלתי לזה, ולצערם של כולם, אני כמו זומבי במשך היום.",implicit,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
syn_0334,"כל פעם שאני נזכר במילואים הגוף שלי עייף, אבל המוח שלי לא נכבה. משתגע מזה.",positive_clear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_0759,"שמע, מאז שחזרתי מהמילואים אני מתעצבן מכל שטות ששואלים אותי מה נשמע. פשוט מרגיש לא בסדר עם עצמי, והכל מעלה לי את הסעיף.",implicit,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
syn_0728,"אני מתרחק מכל מה שמזכיר לי את התקופה ההיא. עשיתי עיקוף שלם כדי לא לעבור ליד המקומות ההם. כבר התרגלתי לזה, לצערם של כולם.",implicit,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
syn_0430,"מאז שחזרתי ללימודים אני לא מצליח להתרכז בכלום. אני מרגיש שהזנחתי את כל התחביבים שלי, וזה ממש מעצבן אותי.",positive_clear,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
syn_1374,המילואים האלה סחטו לי את כל הכוחות. נמאס לי מהפקקים בדרך לבסיס. גם הפסדתי הרבה כסף מהעסק בגלל הסבב הזה. פשוט חלאס.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_0547,"מאז שחזרתי למציאות, אני קם כל כמה שעות לבדוק שהכל בסדר. אני דרוך כאילו אני עדיין בעמדה. איזה כיף.",positive_clear,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
syn_1439,המענק של המילואים עדיין לא נכנס. התגעגעתי בטירוף לאוכל של הבית. הקצינה שוב שכחה לחתום על הטפסים. פשוט חבל.,hard_negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syn_1923,"כל פעם שאני נזכר במילואים, אני מרגיש שונה. השינה שלי ממש גרועה lately, ישנתי שעתיים השבוע וממש קשה לי להתרכז. אני לא בטוח שזה בדיוק קשור, אבל זה המצב.",ambiguous,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
